mach,alpha,cd,cl,cy,c_roll,c_pitch,c_yaw
0.0,-0.17453292519943295,0.456106594920178,-0.38397243543875254,0.0,0.0,0.06108652381980153,0.0
0.0,0.0,0.45001424652444383,0.0,0.0,0.0,-0.0,0.0
0.0,0.17453292519943295,0.456106594920178,0.38397243543875254,0.0,0.0,-0.06108652381980153,0.0
0.5,-0.17453292519943295,0.4625884788109872,-0.38397243543875254,0.0,0.0,0.06108652381980153,0.0
0.5,0.0,0.456496130415253,0.0,0.0,0.0,-0.0,0.0
0.5,0.17453292519943295,0.4625884788109872,0.38397243543875254,0.0,0.0,-0.06108652381980153,0.0
1.0,-0.17453292519943295,0.5060923483957341,-0.38397243543875254,0.0,0.0,0.06108652381980153,0.0
1.0,0.0,0.5,0.0,0.0,0.0,-0.0,0.0
1.0,0.17453292519943295,0.5060923483957341,0.38397243543875254,0.0,0.0,-0.06108652381980153,0.0
2.0,-0.17453292519943295,0.456106594920178,-0.38397243543875254,0.0,0.0,0.06108652381980153,0.0
2.0,0.0,0.45001424652444383,0.0,0.0,0.0,-0.0,0.0
2.0,0.17453292519943295,0.456106594920178,0.38397243543875254,0.0,0.0,-0.06108652381980153,0.0
4.0,-0.17453292519943295,0.4560923483957342,-0.38397243543875254,0.0,0.0,0.06108652381980153,0.0
4.0,0.0,0.45,0.0,0.0,0.0,-0.0,0.0
4.0,0.17453292519943295,0.4560923483957342,0.38397243543875254,0.0,0.0,-0.06108652381980153,0.0
